16/08/2026                                                                                          Página 1



Signatura            Supl.    NA        Suc. Loc.    Cod./Bar.  NEA       Título
HG1/03/Enci                   878773    BH   BH.G    500878779  878779    Filosofía iberoamericana en la época del Encuentro /        
HG1/03/Enci                   878601    BH   BH.G    500878621  878621    La mente humana /                                           
HG1/03/Enci                   878593    BH   BH.G    500878617  878617    Racionalidad epistémica /                                   
HG1/03/Enci                   992200    BH   BH.G    500992203  992203    Filosofía de la cultura /                                   
HG1/03/Enci                   1011953   BH   BH.G    501011955  1011955   Filosofía del lenguaje.                                     
HG1/03/Enci                   945258    BH   BH.G    500945264  945264    Historia de la filosofía antigua /                          
HG1/03/Ferr                   87092     BH   BH.G    502124848  121869    Diccionario de filosofía /                                  
HG1/03/Ferr                   87092     BH   BH.G    100087098  87098     Diccionario de filosofía /                                  
HG1/03/Ferr                   87101     BH   BH.G    500121873  121873    Diccionario de filosofía /                                  
HG1/03/Ferr                   87101     BH   BH.G    100087107  87107     Diccionario de filosofía /                                  
HG1/03/Ferr                   472444    BH   BH.G    500982953  982953    Diccionario de filosofía de bolsillo /                      
HG1/03/Ferr                   580093    BH   BH.G    100580095  580095    Diccionario de filosofía /                                  
HG1/03/Ferr                   580097    BH   BH.G    100580099  580099    Diccionario de filosofía /                                  
HG1/03/Ferr                   580100    BH   BH.G    100580101  580101    Diccionario de filosofía /                                  
HG1/03/Ferr                   472432    BH   BH.G    500982967  982967    Diccionario de filosofía de bolsillo /                      
HG1/03/Ferr                   42963     BH   BH.G    500056070  56070     Diccionario de filosofía /                                  
HG1/03/Garc                   1034433   BH   BH.G    502025995  1524238   Diccionario filosófico : manual de materialismo filosófico, 
HG1/03/Garc                   1034433   BH   BH.G    102330090  1830560   Diccionario filosófico : manual de materialismo filosófico, 
HG1/03/Garc                   1044265   BH   BH.G    502124620  1637789   Uso de razón /                                              
HG1/03/Garc                   1044265   BH   BH.G    502120645  1637790   Uso de razón /                                              
HG1/03/Goul                   453773    BH   BH.G    500453774  453774    Dictionnaire des philosophes antiques /                     
HG1/03/Goul                   935691    BH   BH.G    100935695  935695    Dictionnaire des philosophes antiques /                     
HG1/03/Greg                   743842    BH   BH.G    500765147  765147    Diccionario Oxford de la mente /                            
HG1/03/Hond                   875486    BH   BH.G    100875487  875487    The Oxford companion to philosophy /                        
HG1/03/Huis                   774270    BH   BH.G    500774276  774276    Dictionnaire des philosophes /                              
HG1/03/Huis                   920252    BH   BH.G    500937895  937895    Diccionario de las mil obras clave del pensamiento /        
HG1/03/Jaco                   774316    BH   BH.G    500774326  774326    Les notions philosophiques : dictionnaire /                 
HG1/03/Jaco                   774339    BH   BH.G    500774346  774346    L'univers philosophique /                                   
HG1/03/Jaco                   774330    BH   BH.G    500774336  774336    Les oeuvres philosophiques : dictionnaire /                 
HG1/03/Judi                   98632     BH   BH.G    500098642  98642     Diccionario de filosofía y sociología marxista /            
HG1/03/Juli                   91271     BH   BH.G    500091275  91275     Dictionnaire de la philosophie /                            
HG1/03/Lala                   90176     BH   BH.G    500090177  90177     Vocabulario técnico y crítico de la filosofía /             
HG1/03/Lapl                   494934    BH   BH.G    100702268  702268    Diccionario de psicoanálisis /                              
HG1/03/Mace                   1228587   BH   BH.G    102313625  1808861   The Penguin dictionary of critical theory /                 
HG1/03/Metz                   1210381   BH   BH.G    102263801  1780172   Metzler Philosophie Lexikon : Begriffe und Definitionen /   
HG1/03/Mogc                   2103533   BH   BH.G    102364884  1864374   Writing to reason : a companion for philosophy students and 
HG1/03/More                   2084260   BH   BH.G    102336663  1836374   Conceptos fundamentales del pensamiento latinoamericano actu
HG1/03/Most                   1055701   BH   BH.G    502057102  1558967   Diccionario de lógica y filosofía de la ciencia /           
HG1/03/Most                   1055701   BH   BH.G    502137868  1652760   Diccionario de lógica y filosofía de la ciencia /           
HG1/03/Oxfo                   59517     BH   BH.G    500059527  59527     The Oxford companion to the mind /                          
HG1/03/Pare                   2110726   BH   BH.G    102367568  1876398   Glosario de la filosofía de la técnica /                    
HG1/03/Payn                   1056428   BH   BH.G    102059242  1560087   Diccionario de teoría crítica y estudios culturales /       
HG1/03/Preu                   1232543   BH   BH.G    102320133  1815647   Historical dictionary of ancient Greek philosophy /         
